"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","434","Debe listar y contener la categoría hija creada","smoke","2026-06-19","passed","2026-06-19","GET /api/category - Búsqueda y listados de categorías","api/smoke/category/category-crud.smoke.spec.js","",""
"","654","TC_CAT_REG_001_GET_ById_NoVisibleField","regression","2026-06-19","passed","2026-06-19","Category — Regression","api/regression/category/category.regression.spec.js","",""
"","82","TC_ACC_REG_006_POST_NonExistentMediaId @negative","regression","2026-06-19","passed","2026-06-19","Access Token — Negative & Boundary Regression","api/regression/access/access-negative.regression.spec.js","",""
"","5","TC_AR_REG_W001_POST_Create_MissingName @negative","regression","2026-06-19","skipped","2026-06-19","Access Restriction — Regression (read-only; write tests skip without session auth)","api/regression/access_restriction/access_restriction.regression.spec.js","",""
"","2272","TC_SCH_005_POST_CreateScheduleJob_HappyPath @critical","regression","2026-06-19","passed","2026-06-19","Schedule - Regression","api/regression/schedule/schedule-advanced.regression.spec.js","",""
"","81","TC_AT_POST_issue_missing_type","smoke","2026-06-19","passed","2026-06-19","Access Token — Issue (POST /api/access/issue)","api/smoke/access/access-token.smoke.spec.js","",""
"","419","TC_MED_THUMBS_GET","regression","2026-06-19","passed","2026-06-19","11. Subrecursos Adicionales","api/regression/media/media-advanced.regression.spec.js","",""
"","82","[PL-NEG] 404 al eliminar playlist inexistente","regression","2026-06-19","passed","2026-06-19","DELETE /api/playlist - negativo","api/regression/playlist/playlist-advanced.regression.spec.js","",""
"","2197","TC_LIV_048_POST_StopRecord_NotRecording","regression","2026-06-19","passed","2026-06-19","11. Estado de grabación — negativos (LIVE-RISK-003)","api/regression/live/live-advanced.regression.spec.js","",""
"","84","TC_CST_POST_create_no_token","smoke","2026-06-19","passed","2026-06-19","Customer — Create (POST /api/customer)","api/smoke/customer/customer.smoke.spec.js","",""
"","2029","TC_LIV_023_POST_StartRecord","regression","2026-06-19","passed","2026-06-19","5. Grabación","api/regression/live/live-advanced.regression.spec.js","",""
"","176","[PL-SMOKE-003] POST crea playlist manual mínima","smoke","2026-06-19","passed","2026-06-19","Playlist - Smoke","api/smoke/playlist/playlist-crud.smoke.spec.js","",""
